product_id,source_code,external_id,alias_text
hutt-10,idealo,209545339_-fensterputzroboter-10-weiss-eckig-hutt,HUTT Fensterputzroboter 10 weiß eckig
hutt-10,geizhals,hutt-10-fensterreinigungsroboter-a3772143,Hutt 10 Fensterreinigungsroboter
ecovacs-w3-omni,idealo,209453774_-winbot-w3-omni-ecovacs,ECOVACS Winbot W3 Omni
ecovacs-w3-omni,geizhals,ecovacs-winbot-w3-omni-fensterreinigungsroboter-a3725054,ECOVACS Winbot W3 Omni Fensterreinigungsroboter
ecovacs-w2s-omni,idealo,207671271_-winbot-w2s-omni-ecovacs,ECOVACS Winbot W2S Omni
ecovacs-w2s-omni,geizhals,ecovacs-winbot-w2s-omni-fensterreinigungsroboter-a3592415,ECOVACS Winbot W2S Omni Fensterreinigungsroboter
ecovacs-w2-pro-omni,idealo,205855375_-winbot-w2-pro-omni-ecovacs,ECOVACS Winbot W2 Pro Omni
ecovacs-w2-pro-omni,geizhals,ecovacs-winbot-w2-pro-omni-fensterreinigungsroboter-a3418279,ECOVACS Winbot W2 Pro Omni Fensterreinigungsroboter
ecovacs-winbot-mini,idealo,205850152_-winbot-mini-grau-ecovacs,ECOVACS Winbot Mini grau
ecovacs-winbot-mini,geizhals,ecovacs-winbot-mini-fensterreinigungsroboter-grau-a3414615,ECOVACS Winbot Mini Fensterreinigungsroboter grau
